Seccion,Municipio,Nominal_2009,Nominal_2015,Nominal_2021,Proyeccion_Nominal_2027,Morena_2009,Oposicion_2009,Morena_2015,Oposicion_2015,Morena_2021,Oposicion_2021,Participacion_2021_Pct,Votos_Esperados_Totales_2027,Votos_Necesarios_50_Mas_1_2027,Clasificacion,Coordinador_Estatal,Coordinador_Distrital_Federal,Coordinador_Municipal,Coordinadores_De_Brigada_Requeridos,Brigadistas_Requeridos,Coordinadores_Seccionales_Requeridos,Protagonistas_Movilizadores_Requeridos,Votos_Nivel_1_Requeridos
657,Cajeme,2937,3171,3377,3621,185,1533,472,1502,645,761,42.9%,1553,777,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,2,8,78,777
658,Cajeme,1126,1216,1294,1387,26,442,144,390,403,357,60.5%,839,420,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,1,5,42,420
659,Cajeme,1696,1831,1950,2090,87,696,302,748,586,417,53.0%,1108,555,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,2,6,56,555
660,Cajeme,566,611,650,696,24,234,83,241,143,118,41.4%,288,145,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,1,2,15,145
661,Cajeme,1215,1312,1397,1498,89,560,148,441,287,273,41.3%,618,310,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,1,4,31,310
662,Cajeme,965,1042,1109,1188,30,370,167,300,357,274,58.6%,696,349,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,1,4,35,349
663,Cajeme,1005,1085,1155,1238,58,568,90,362,291,249,48.1%,595,298,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,1,3,30,298
664,Cajeme,2607,2815,2998,3215,125,1021,451,1201,927,906,63.0%,2025,1013,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,3,11,102,1013
665,Cajeme,2635,2845,3030,3249,178,1333,478,986,695,646,45.6%,1481,741,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,2,8,75,741
666,Cajeme,2368,2557,2723,2920,128,1125,301,729,659,700,51.5%,1502,752,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,2,8,76,752
667,Cajeme,922,995,1060,1136,41,373,101,298,263,310,55.7%,632,317,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,1,4,32,317
668,Cajeme,2392,2583,2750,2948,164,907,454,1015,474,618,40.9%,1206,604,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,2,7,61,604
669,Cajeme,1736,1874,1996,2140,54,669,247,628,401,537,48.4%,1036,519,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,2,6,52,519
670,Cajeme,2813,3038,3234,3467,182,1469,461,1396,865,667,48.8%,1692,847,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,2,9,85,847
671,Cajeme,2906,3138,3341,3582,205,1291,362,1027,775,730,46.4%,1662,832,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,2,9,84,832
672,Cajeme,572,617,657,704,27,203,70,238,180,189,57.8%,407,204,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,1,3,21,204
673,Cajeme,2669,2882,3069,3291,109,961,316,1240,658,758,47.5%,1564,783,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,2,8,79,783
674,Cajeme,2162,2334,2486,2665,158,1072,163,764,830,548,57.1%,1522,762,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,2,8,77,762
675,Cajeme,1345,1452,1546,1657,72,556,115,567,533,411,62.9%,1042,522,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,2,6,53,522
676,Cajeme,623,672,716,767,37,344,97,222,195,212,58.5%,448,225,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,1,3,23,225
677,Cajeme,773,834,888,951,35,307,96,280,207,185,45.5%,432,217,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,1,3,22,217
678,Cajeme,949,1024,1091,1169,41,433,133,443,260,303,53.2%,621,311,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,1,4,32,311
679,Cajeme,2991,3230,3439,3687,122,1494,309,1181,1173,948,63.6%,2343,1172,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,3,12,118,1172
680,Cajeme,2506,2706,2881,3089,62,933,517,982,1088,690,63.6%,1964,983,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,2,10,99,983
681,Cajeme,2194,2369,2523,2705,60,972,444,1003,548,535,44.2%,1196,599,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,2,6,60,599
682,Cajeme,2666,2879,3065,3286,161,1102,365,1273,756,741,50.3%,1654,828,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,2,9,83,828
683,Cajeme,2128,2298,2447,2624,98,860,276,738,683,613,54.6%,1432,717,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,2,8,72,717
684,Cajeme,2089,2256,2402,2575,105,1069,238,926,622,413,44.4%,1142,572,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,2,6,58,572
685,Cajeme,1718,1855,1975,2117,61,732,338,806,493,582,56.1%,1187,594,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,2,6,60,594
686,Cajeme,2652,2864,3049,3269,215,1254,626,1141,843,603,48.9%,1597,799,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,2,8,80,799
687,Cajeme,2161,2333,2485,2664,168,1152,248,754,684,829,62.7%,1671,836,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,2,9,84,836
688,Cajeme,1597,1724,1836,1968,77,831,208,633,539,462,56.2%,1105,553,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,2,6,56,553
689,Cajeme,2992,3231,3440,3688,145,1176,461,1251,1044,713,52.6%,1941,971,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,2,10,98,971
690,Cajeme,1837,1983,2112,2264,72,875,293,561,567,385,46.4%,1051,526,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,2,6,53,526
691,Cajeme,1114,1203,1281,1373,83,604,131,524,458,315,62.1%,853,427,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,1,5,43,427
692,Cajeme,597,644,686,735,55,313,99,206,206,140,51.9%,381,191,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,1,2,20,191
693,Cajeme,2473,2670,2843,3048,104,958,316,1309,774,635,51.1%,1556,779,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,2,8,78,779
694,Cajeme,2427,2621,2791,2993,116,1069,401,1027,704,851,57.4%,1719,860,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,2,9,86,860
695,Cajeme,1857,2005,2135,2289,107,876,344,680,775,519,62.5%,1430,716,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,2,8,72,716
696,Cajeme,1186,1280,1363,1461,74,437,195,382,322,413,55.5%,811,406,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,1,5,41,406
697,Cajeme,1060,1144,1219,1307,43,535,232,458,256,281,45.4%,592,297,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,1,3,30,297
698,Cajeme,1980,2138,2277,2441,128,810,365,713,695,631,60.0%,1464,733,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,2,8,74,733
699,Cajeme,2003,2163,2303,2469,87,1132,313,759,520,483,44.9%,1108,555,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,2,6,56,555
700,Cajeme,1180,1274,1357,1455,73,570,138,573,374,331,53.5%,778,390,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,1,4,39,390
701,Cajeme,1645,1776,1891,2027,119,722,367,710,478,393,47.4%,961,481,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,1,5,49,481
702,Cajeme,943,1018,1084,1162,60,365,99,450,280,364,61.2%,710,356,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,1,4,36,356
703,Cajeme,705,761,810,868,60,365,73,262,245,204,57.0%,495,248,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,1,3,25,248
704,Cajeme,2027,2189,2331,2499,146,876,340,934,633,532,51.5%,1287,644,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,2,7,65,644
705,Cajeme,1562,1686,1796,1925,93,682,191,544,374,398,44.3%,852,427,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,1,5,43,427
706,Cajeme,1580,1706,1816,1946,63,817,242,644,418,412,47.1%,916,459,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,1,5,46,459
707,Cajeme,572,617,657,704,50,297,82,202,124,137,40.9%,288,145,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,1,2,15,145
708,Cajeme,1009,1089,1160,1243,35,509,114,533,203,286,43.4%,540,271,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,1,3,28,271
709,Cajeme,2687,2901,3090,3313,99,1085,464,1141,601,611,40.4%,1339,670,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,2,7,67,670
710,Cajeme,2058,2222,2366,2536,129,1069,317,794,683,612,56.4%,1430,716,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,2,8,72,716
711,Cajeme,2487,2685,2860,3067,113,971,262,892,776,833,58.0%,1778,890,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,2,9,89,890
712,Cajeme,1694,1829,1948,2088,97,782,206,630,529,567,58.0%,1210,606,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,2,7,61,606
713,Cajeme,2097,2264,2411,2585,116,849,197,704,473,463,40.0%,1033,517,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,2,6,52,517
714,Cajeme,979,1057,1125,1206,36,546,70,376,223,286,46.6%,561,281,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,1,3,29,281
715,Cajeme,2601,2809,2991,3207,171,1268,263,838,601,603,41.5%,1330,666,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,2,7,67,666
716,Cajeme,1170,1263,1345,1442,68,517,186,505,341,294,48.6%,701,351,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,1,4,36,351
717,Cajeme,1475,1593,1696,1818,55,579,201,695,401,420,49.9%,906,454,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,1,5,46,454
718,Cajeme,1566,1691,1800,1929,69,646,214,737,563,560,64.3%,1239,620,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,2,7,62,620
719,Cajeme,1632,1762,1876,2011,54,595,169,514,516,502,55.9%,1124,563,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,2,6,57,563
720,Cajeme,1136,1226,1306,1400,25,454,100,454,337,447,61.9%,866,434,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,1,5,44,434
721,Cajeme,1128,1218,1297,1390,41,402,118,372,366,256,49.4%,686,344,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,1,4,35,344
722,Cajeme,3000,3240,3449,3698,179,1463,428,1100,638,866,44.9%,1661,831,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,2,9,84,831
723,Cajeme,2722,2939,3130,3356,132,1399,330,1093,1142,708,60.9%,2044,1023,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,3,11,103,1023
724,Cajeme,1689,1824,1942,2082,82,868,278,860,440,539,52.0%,1081,541,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,2,6,55,541
725,Cajeme,850,918,977,1047,32,298,124,374,209,201,43.2%,452,227,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,1,3,23,227
726,Cajeme,1578,1704,1814,1944,46,667,176,848,382,427,45.9%,892,447,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,1,5,45,447
727,Cajeme,2662,2874,3061,3282,101,971,456,923,846,942,60.2%,1976,989,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,2,10,99,989
728,Cajeme,666,719,765,819,35,279,52,262,185,136,43.1%,353,177,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,1,2,18,177
729,Cajeme,1840,1987,2116,2269,80,811,422,752,465,430,43.6%,988,495,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,1,5,50,495
730,Cajeme,1742,1881,2003,2147,104,983,182,766,510,656,60.0%,1288,645,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,2,7,65,645
731,Cajeme,784,846,901,965,42,383,89,267,287,261,62.6%,604,303,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,1,4,31,303
732,Cajeme,994,1073,1143,1225,36,561,102,377,276,226,45.2%,554,278,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,1,3,28,278
733,Cajeme,2207,2383,2538,2721,148,911,300,1092,754,591,54.6%,1485,743,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,2,8,75,743
734,Cajeme,1895,2046,2179,2336,47,779,274,583,673,654,62.8%,1466,734,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,2,8,74,734
735,Cajeme,2243,2422,2579,2765,204,1122,269,756,668,904,62.8%,1736,869,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,2,9,87,869
736,Cajeme,1536,1658,1766,1893,54,721,173,793,399,437,48.8%,922,462,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,1,5,47,462
737,Cajeme,511,551,587,629,21,194,89,246,136,134,47.4%,297,149,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,1,2,15,149
738,Cajeme,1170,1263,1345,1442,42,479,162,392,279,308,45.0%,648,325,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,1,4,33,325
739,Cajeme,1297,1400,1491,1598,62,696,224,518,505,422,64.1%,1023,512,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,2,6,52,512
740,Cajeme,2854,3082,3282,3519,160,1036,468,1409,653,753,44.1%,1553,777,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,2,8,78,777
741,Cajeme,1404,1516,1614,1730,62,532,154,770,485,465,60.7%,1049,525,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,2,6,53,525
742,Cajeme,2200,2376,2530,2713,82,1199,248,877,730,805,62.5%,1696,849,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,2,9,85,849
743,Cajeme,1663,1796,1912,2050,109,901,206,621,557,410,52.1%,1067,534,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,2,6,54,534
744,Cajeme,1765,1906,2029,2175,93,683,181,652,369,452,41.7%,906,454,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,1,5,46,454
745,Cajeme,1403,1515,1613,1729,93,651,271,671,409,407,52.1%,901,451,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,1,5,46,451
746,Cajeme,2235,2413,2570,2755,134,1227,214,820,570,729,52.1%,1435,718,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,2,8,72,718
747,Cajeme,1722,1859,1980,2123,60,990,277,818,472,660,58.9%,1251,626,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,2,7,63,626
748,Cajeme,792,855,910,975,31,344,113,405,168,223,44.3%,431,216,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,1,3,22,216
749,Cajeme,2367,2556,2722,2919,107,983,412,880,492,638,42.8%,1248,625,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,2,7,63,625
750,Cajeme,1838,1985,2113,2265,67,737,154,650,492,435,45.2%,1023,512,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,2,6,52,512
751,Cajeme,2629,2839,3023,3241,193,1442,350,1086,879,957,62.6%,2028,1015,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,3,11,102,1015
752,Cajeme,2615,2824,3007,3224,87,1034,259,1168,977,869,63.3%,2040,1021,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,3,11,103,1021
753,Cajeme,1994,2153,2293,2458,118,1056,196,1035,619,595,54.6%,1341,671,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,2,7,68,671
754,Cajeme,1234,1332,1419,1521,62,686,99,474,420,356,56.3%,856,429,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,1,5,43,429
755,Cajeme,2635,2845,3030,3249,178,1154,210,970,796,640,48.8%,1586,794,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,2,8,80,794
756,Cajeme,2380,2570,2737,2935,67,897,308,820,877,578,54.8%,1608,805,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,2,9,81,805
757,Cajeme,2123,2292,2441,2617,103,971,308,1084,917,600,64.0%,1675,838,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,2,9,84,838
758,Cajeme,1856,2004,2134,2288,61,877,334,896,543,650,57.6%,1317,659,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,2,7,66,659
759,Cajeme,741,800,852,913,22,401,106,317,213,237,54.3%,496,249,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,1,3,25,249
760,Cajeme,1049,1132,1206,1293,27,424,176,443,259,291,46.9%,606,304,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,1,4,31,304
761,Cajeme,1421,1534,1634,1752,37,552,215,512,406,362,48.4%,848,425,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,1,5,43,425
762,Cajeme,2007,2167,2308,2475,97,783,397,755,654,591,55.6%,1375,688,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,2,7,69,688
763,Cajeme,609,657,700,750,31,339,141,267,121,170,42.9%,321,161,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,1,2,17,161
764,Cajeme,1164,1257,1338,1434,78,636,139,564,339,289,48.4%,693,347,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,1,4,35,347
765,Cajeme,637,687,732,784,33,304,79,284,217,217,61.1%,478,240,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,1,3,24,240
766,Cajeme,1640,1771,1885,2020,104,793,173,634,618,428,57.2%,1155,578,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,2,6,58,578
767,Cajeme,939,1014,1079,1156,54,391,129,348,318,199,49.3%,569,285,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,1,3,29,285
768,Cajeme,858,926,986,1057,67,389,133,366,332,235,59.2%,626,314,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,1,4,32,314
769,Cajeme,546,589,627,671,50,289,38,207,146,109,41.8%,280,141,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,1,2,15,141
770,Cajeme,2061,2225,2370,2541,84,1068,296,748,800,526,57.7%,1465,733,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,2,8,74,733
771,Cajeme,2037,2199,2342,2511,89,986,318,986,461,520,43.2%,1083,542,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,2,6,55,542
772,Cajeme,928,1002,1067,1144,34,388,185,371,228,201,41.4%,473,237,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,1,3,24,237
773,Cajeme,1204,1300,1384,1483,62,504,223,399,241,309,41.0%,607,304,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,1,4,31,304
774,Cajeme,1735,1873,1995,2139,101,835,354,722,610,486,56.6%,1210,606,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,2,7,61,606
775,Cajeme,2491,2690,2864,3071,55,981,346,747,677,604,46.1%,1415,708,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,2,8,71,708
776,Cajeme,2345,2532,2696,2890,127,973,490,927,813,633,55.3%,1597,799,Segura (Crecimiento Alto),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Periferia),1,2,8,80,799
777,Cajeme,1439,1554,1654,1773,82,771,138,513,420,508,57.8%,1024,513,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Centro),1,2,6,52,513
778,Cajeme,674,727,775,831,52,322,80,212,203,247,59.7%,496,249,Competida (Swing),Coordinador Estatal 2,Coordinador Distrito Federal 6,Coordinador Municipal Cajeme (Zona Valle),1,1,3,25,249
