Seccion,Municipio,Nominal_2009,Nominal_2015,Nominal_2021,Proyeccion_Nominal_2027,Morena_2009,Oposicion_2009,Morena_2015,Oposicion_2015,Morena_2021,Oposicion_2021,Participacion_2021_Pct,Votos_Esperados_Totales_2027,Votos_Necesarios_50_Mas_1_2027,Clasificacion
506,Navojoa,855,2242,2914,5714,34,474,238,819,771,1061,64.8%,3702,1852,Competida (Swing)
507,Guaymas,2487,1983,3078,3615,89,1150,256,730,756,520,42.7%,1544,773,Segura (Crecimiento Alto)
508,San Luis Rio Colorado,1546,2507,1189,1245,72,737,426,938,307,201,44.0%,547,274,Favorable (Estable)
509,San Luis Rio Colorado,2440,1094,1338,1118,64,1097,128,531,279,362,49.3%,551,276,Competida (Swing)
510,Hermosillo,1820,1099,1397,1309,127,912,175,379,363,465,61.1%,799,400,Competida (Swing)
511,Guaymas,1284,1350,2830,4453,50,518,209,623,717,810,55.6%,2476,1239,Competida (Swing)
512,Hermosillo,1874,2900,1546,1608,121,697,391,1259,371,396,51.1%,821,411,Competida (Swing)
513,San Luis Rio Colorado,2015,3076,1834,1946,169,939,500,1197,454,581,58.1%,1131,566,Competida (Swing)
514,Navojoa,2239,2520,3222,3872,113,944,435,1123,763,883,52.6%,2038,1020,Competida (Swing)
515,Hermosillo,1710,2856,1707,1935,119,741,560,1175,479,346,49.8%,963,482,Favorable (Estable)
516,Guaymas,1619,1950,3177,4501,35,662,204,864,997,829,59.2%,2666,1334,Segura (Crecimiento Alto)
517,Nogales,1142,1143,1833,2387,83,529,139,350,566,375,52.9%,1263,632,Segura (Crecimiento Alto)
518,San Luis Rio Colorado,1388,2990,1785,2455,49,683,376,803,544,468,58.4%,1434,718,Segura (Crecimiento Alto)
519,Nogales,1811,2877,1852,2067,58,870,280,855,420,599,56.7%,1171,586,Competida (Swing)
520,Nogales,506,599,1361,2351,13,204,102,198,443,295,55.8%,1312,657,Segura (Crecimiento Alto)
521,Nogales,848,1617,936,1163,54,434,151,508,208,275,53.1%,617,309,Competida (Swing)
522,Nogales,1811,2773,3383,4653,99,734,318,1059,818,835,50.4%,2343,1172,Competida (Swing)
523,Hermosillo,823,1899,1858,3052,55,367,127,681,461,309,42.7%,1302,652,Segura (Crecimiento Alto)
524,San Luis Rio Colorado,2060,2367,2295,2431,106,831,230,1014,520,438,43.0%,1045,523,Segura (Crecimiento Alto)
525,Nogales,734,814,1227,1605,38,306,127,326,403,323,61.0%,978,490,Segura (Crecimiento Alto)
526,Cajeme,2541,1342,3146,4518,189,1065,110,532,1147,801,63.8%,2883,1442,Segura (Crecimiento Alto)
527,Guaymas,632,883,2136,4075,36,287,74,272,454,616,51.6%,2104,1053,Competida (Swing)
528,Guaymas,501,3004,3093,10865,35,225,388,1129,713,972,56.2%,6101,3051,Competida (Swing)
529,Guaymas,2889,3194,1835,1541,189,1138,449,1481,467,341,45.3%,698,350,Favorable (Estable)
530,Guaymas,2102,2393,3348,4247,119,732,286,1171,842,537,42.4%,1802,902,Segura (Crecimiento Alto)
531,Cajeme,2155,1607,2863,3617,151,892,131,652,675,549,44.0%,1593,797,Segura (Crecimiento Alto)
532,Cajeme,2787,2997,1486,1167,93,1222,555,1164,522,359,61.1%,713,357,Favorable (Estable)
533,Nogales,1955,2277,2015,2065,49,863,306,787,404,483,45.4%,936,469,Competida (Swing)
534,Nogales,680,2009,673,1106,42,295,231,702,182,123,46.7%,516,259,Favorable (Estable)
535,Guaymas,2130,1013,2162,2821,81,1116,100,299,462,583,49.8%,1405,703,Competida (Swing)
536,Nogales,552,1771,1910,4093,23,255,304,797,593,405,53.8%,2202,1102,Segura (Crecimiento Alto)
537,Guaymas,2204,613,1524,2106,148,1085,67,272,291,360,44.0%,927,464,Competida (Swing)
538,San Luis Rio Colorado,1824,2532,1428,1393,119,676,366,711,280,363,46.4%,645,323,Competida (Swing)
539,Nogales,1394,1819,2109,2598,79,705,144,620,636,471,54.1%,1405,703,Segura (Crecimiento Alto)
540,Guaymas,2079,2311,1171,947,129,1041,259,743,322,281,53.0%,502,252,Segura (Crecimiento Alto)
541,Navojoa,1067,2133,1367,1804,53,563,298,705,384,360,56.1%,1012,507,Segura (Crecimiento Alto)
542,Cajeme,1022,2628,3080,5764,34,566,375,837,805,892,56.8%,3273,1637,Competida (Swing)
543,Nogales,2592,2658,1729,1448,200,1302,410,1162,439,345,46.7%,676,339,Favorable (Estable)
544,Hermosillo,855,3056,1214,2410,35,442,414,912,330,249,49.1%,1183,592,Favorable (Estable)
545,Hermosillo,1092,1353,967,944,73,432,181,563,249,272,55.5%,524,263,Competida (Swing)
546,Guaymas,521,1460,2520,5705,28,219,151,531,482,664,46.9%,2673,1337,Competida (Swing)
547,Nogales,2207,2064,3061,3701,153,1118,332,846,745,1011,59.1%,2188,1095,Competida (Swing)
548,Hermosillo,2579,3031,1667,1437,64,1036,488,1019,450,405,52.8%,759,380,Favorable (Estable)
549,Navojoa,1685,3095,2296,2960,110,851,288,1549,543,763,58.6%,1735,868,Competida (Swing)
550,San Luis Rio Colorado,1798,951,1810,2201,51,921,74,385,625,425,59.8%,1315,658,Segura (Crecimiento Alto)
551,Guaymas,2100,1710,2707,3244,73,1249,296,775,831,664,56.9%,1846,924,Segura (Crecimiento Alto)
552,Guaymas,530,1414,1980,4027,39,236,203,398,503,467,50.5%,2033,1017,Segura (Crecimiento Alto)
553,Nogales,1723,2836,1299,1366,118,694,370,786,369,436,63.8%,871,436,Competida (Swing)
554,San Luis Rio Colorado,710,1010,1206,1577,44,287,138,302,304,378,58.3%,919,460,Competida (Swing)
555,Nogales,1161,798,1501,1927,89,491,115,211,336,370,48.4%,933,467,Competida (Swing)
556,San Luis Rio Colorado,2331,995,2532,3762,138,1081,107,290,486,684,47.6%,1791,896,Competida (Swing)
557,Hermosillo,2499,912,3016,5537,149,1361,128,431,787,1053,62.9%,3480,1741,Competida (Swing)
558,Hermosillo,816,2582,3256,7204,65,360,329,1158,696,638,42.2%,3042,1522,Segura (Crecimiento Alto)
559,Nogales,2921,2611,1664,1273,171,1378,292,912,304,349,40.4%,514,258,Competida (Swing)
560,San Luis Rio Colorado,1931,1520,2380,2800,63,707,244,463,600,579,51.1%,1429,715,Segura (Crecimiento Alto)
561,San Luis Rio Colorado,2042,875,2271,3433,137,939,157,301,510,493,45.5%,1563,782,Segura (Crecimiento Alto)
562,Guaymas,1964,3015,2424,2835,109,724,472,1065,682,605,54.7%,1550,776,Segura (Crecimiento Alto)
563,Hermosillo,2156,2365,2264,2325,173,1142,294,985,549,568,50.8%,1182,592,Competida (Swing)
564,Hermosillo,2414,1572,576,293,175,1126,136,493,160,121,50.2%,147,74,Segura (Crecimiento Alto)
565,Cajeme,2798,2935,2415,2260,223,1442,520,1167,790,555,57.4%,1297,649,Segura (Crecimiento Alto)
566,Nogales,2552,1327,1428,1139,151,1157,160,607,348,221,41.0%,467,234,Segura (Crecimiento Alto)
567,Navojoa,737,800,3400,9070,36,382,91,381,1078,668,52.9%,4799,2400,Segura (Crecimiento Alto)
568,Cajeme,2851,1880,2582,2624,201,1387,258,591,605,597,48.0%,1259,630,Segura (Crecimiento Alto)
569,Guaymas,2142,2072,2883,3400,88,959,146,747,504,637,40.8%,1386,694,Competida (Swing)
570,Nogales,1817,2700,3226,4324,63,988,202,846,725,628,43.2%,1868,935,Segura (Crecimiento Alto)
571,Guaymas,858,1128,882,924,59,372,161,292,167,192,42.0%,387,194,Competida (Swing)
572,Nogales,1950,560,1953,3685,76,780,55,273,524,350,46.1%,1700,851,Segura (Crecimiento Alto)
573,Hermosillo,2252,3233,1329,1227,96,920,301,1473,441,293,56.9%,697,349,Segura (Crecimiento Alto)
574,Hermosillo,1322,2462,1775,2292,63,482,446,1094,571,393,55.9%,1282,642,Segura (Crecimiento Alto)
575,San Luis Rio Colorado,1894,1682,2714,3394,134,933,351,640,1022,640,63.1%,2142,1072,Segura (Crecimiento Alto)
576,Nogales,1102,1178,2753,4688,93,578,91,436,759,937,63.5%,2976,1489,Competida (Swing)
577,Guaymas,524,2712,2082,6186,25,203,524,1119,657,508,57.7%,3568,1785,Segura (Crecimiento Alto)
578,Navojoa,1459,1314,2866,4416,121,723,118,572,783,719,54.0%,2385,1193,Segura (Crecimiento Alto)
579,Navojoa,2342,2249,578,351,174,958,373,856,199,148,61.8%,216,109,Favorable (Estable)
580,Nogales,867,3060,1465,2935,56,392,416,1458,371,300,47.2%,1384,693,Favorable (Estable)
581,Guaymas,1506,2923,1987,2603,59,726,216,996,507,673,61.2%,1592,797,Competida (Swing)
582,Nogales,986,1690,3315,6092,39,539,268,501,926,733,51.6%,3142,1572,Segura (Crecimiento Alto)
583,Guaymas,1029,3027,3099,6144,72,525,476,1281,595,823,47.1%,2896,1449,Competida (Swing)
584,Guaymas,2921,2986,3072,3150,237,1563,322,1542,677,822,50.3%,1584,793,Competida (Swing)
585,Navojoa,2678,1996,2183,2007,102,1349,261,875,594,529,53.0%,1063,532,Segura (Crecimiento Alto)
586,Nogales,1891,1882,1544,1401,60,1098,372,709,421,407,55.2%,773,387,Segura (Crecimiento Alto)
587,Cajeme,1391,3153,3299,5464,43,634,258,1193,1101,947,64.0%,3496,1749,Segura (Crecimiento Alto)
588,Nogales,1421,676,1542,2125,40,514,76,198,498,436,62.4%,1325,663,Segura (Crecimiento Alto)
589,San Luis Rio Colorado,2561,2337,2647,2706,151,902,281,792,997,635,63.5%,1719,860,Segura (Crecimiento Alto)
590,Cajeme,1104,2877,2971,5405,68,510,483,1032,946,732,58.2%,3145,1573,Segura (Crecimiento Alto)
591,Nogales,1856,3156,2848,3706,143,794,413,1457,781,842,58.7%,2177,1089,Competida (Swing)
592,Guaymas,728,1044,781,852,41,341,102,485,162,155,41.7%,355,178,Segura (Crecimiento Alto)
593,Cajeme,2044,871,1347,1328,118,768,109,245,401,259,50.5%,670,336,Segura (Crecimiento Alto)
594,San Luis Rio Colorado,2913,3075,2922,2930,129,1288,359,1568,629,707,47.1%,1380,691,Competida (Swing)
595,Cajeme,1968,2877,2587,3054,90,973,262,1287,686,425,44.3%,1351,676,Segura (Crecimiento Alto)
596,Nogales,2229,963,2220,3038,110,1222,117,392,513,430,43.8%,1330,666,Segura (Crecimiento Alto)
597,Hermosillo,1866,1122,1652,1712,109,1067,129,456,459,403,53.8%,920,461,Segura (Crecimiento Alto)
598,Hermosillo,2997,773,1314,1286,172,1308,111,240,368,344,55.9%,718,360,Segura (Crecimiento Alto)
599,Nogales,1045,945,2703,5087,36,548,107,299,602,853,55.5%,2821,1411,Competida (Swing)
600,Cajeme,2460,1315,2295,2616,130,980,199,501,549,386,42.0%,1097,549,Segura (Crecimiento Alto)
601,San Luis Rio Colorado,1991,2432,691,520,121,1096,373,759,169,129,44.4%,231,116,Favorable (Estable)
602,Hermosillo,863,1334,1838,2686,51,460,151,528,477,617,61.3%,1646,824,Competida (Swing)
603,Cajeme,934,919,2467,4524,71,471,157,343,583,605,49.6%,2244,1123,Competida (Swing)
604,Cajeme,775,2090,3284,7008,27,443,290,777,727,867,50.0%,3506,1754,Competida (Swing)
605,Cajeme,2542,759,3315,7734,95,1358,128,247,706,674,42.9%,3317,1659,Segura (Crecimiento Alto)
606,Cajeme,1005,2289,2557,4340,41,404,328,682,835,523,54.8%,2376,1189,Segura (Crecimiento Alto)
607,San Luis Rio Colorado,1569,2097,3142,4453,116,812,296,811,839,956,58.9%,2621,1311,Competida (Swing)
608,Cajeme,1602,3156,1131,1316,51,607,400,974,279,200,43.6%,573,287,Favorable (Estable)
609,Cajeme,2597,3174,2459,2455,80,1026,660,1340,741,787,64.1%,1572,787,Competida (Swing)
610,Cajeme,621,645,3116,9144,38,278,87,207,829,1071,62.8%,5745,2873,Competida (Swing)
611,San Luis Rio Colorado,1328,2898,1707,2365,115,702,217,1001,399,338,44.5%,1051,526,Segura (Crecimiento Alto)
612,San Luis Rio Colorado,1127,1981,2726,4271,51,500,284,844,790,713,56.8%,2426,1214,Segura (Crecimiento Alto)
613,Nogales,1796,2741,3302,4508,82,662,517,1021,1106,782,58.9%,2656,1329,Segura (Crecimiento Alto)
614,Nogales,1532,792,3393,8145,80,515,86,362,777,1055,55.6%,4532,2267,Competida (Swing)
615,Nogales,795,1223,1148,1421,50,404,247,454,340,379,64.5%,917,459,Competida (Swing)
616,San Luis Rio Colorado,1278,3057,810,1076,54,588,429,1233,194,247,56.0%,603,302,Competida (Swing)
617,Nogales,1133,2001,3075,5078,49,467,258,840,715,607,44.3%,2249,1125,Segura (Crecimiento Alto)
618,Nogales,557,1043,2111,4112,31,207,142,433,593,568,56.7%,2329,1165,Segura (Crecimiento Alto)
619,San Luis Rio Colorado,2620,1356,2347,2638,158,1114,131,595,561,620,51.9%,1367,684,Competida (Swing)
620,Cajeme,861,2633,2899,6028,44,471,410,1157,1079,711,63.6%,3836,1919,Segura (Crecimiento Alto)
621,Cajeme,1070,2417,3254,5865,51,431,300,761,866,1006,59.3%,3476,1739,Competida (Swing)
622,Navojoa,2585,2438,1529,1200,223,1373,450,1047,537,401,63.2%,758,380,Segura (Crecimiento Alto)
623,San Luis Rio Colorado,844,3129,2599,5897,58,468,360,1596,664,545,47.9%,2827,1414,Segura (Crecimiento Alto)
624,San Luis Rio Colorado,1573,1424,2187,2669,90,539,225,578,559,742,61.3%,1636,819,Competida (Swing)
625,Navojoa,1363,2466,2366,3275,97,616,474,895,779,496,55.5%,1818,910,Segura (Crecimiento Alto)
626,Guaymas,1083,3029,3160,6067,46,431,359,1143,947,751,55.4%,3359,1680,Segura (Crecimiento Alto)
627,Hermosillo,1958,1559,1429,1223,84,931,256,469,265,307,41.2%,504,253,Competida (Swing)
628,Navojoa,2917,1991,2263,2058,182,1041,208,861,548,463,46.0%,947,474,Segura (Crecimiento Alto)
629,Cajeme,1332,1949,741,682,87,681,323,712,176,184,50.1%,341,171,Competida (Swing)
630,Cajeme,884,2076,2558,4579,28,319,263,961,666,814,59.6%,2729,1365,Competida (Swing)
631,Nogales,1657,2938,1250,1374,87,721,623,1228,247,238,40.0%,549,275,Favorable (Estable)
632,Navojoa,1271,2095,653,639,38,625,236,689,169,178,54.7%,349,175,Competida (Swing)
633,San Luis Rio Colorado,2739,776,3047,6413,86,1142,87,330,1077,700,60.1%,3853,1927,Segura (Crecimiento Alto)
634,Guaymas,590,1153,2029,3767,27,292,158,362,688,463,58.5%,2201,1101,Segura (Crecimiento Alto)
635,Cajeme,2083,1313,865,557,62,759,156,390,250,288,64.0%,356,179,Competida (Swing)
636,San Luis Rio Colorado,632,1354,1176,1770,28,231,119,482,327,220,47.9%,847,424,Segura (Crecimiento Alto)
637,Guaymas,1784,1331,2906,4256,106,878,211,604,675,643,46.7%,1988,995,Segura (Crecimiento Alto)
638,Navojoa,800,825,2117,3807,17,324,132,347,697,519,59.2%,2253,1127,Segura (Crecimiento Alto)
639,Guaymas,2929,2502,2260,1985,74,1354,259,917,642,684,60.4%,1199,600,Competida (Swing)
640,Cajeme,2821,2071,2390,2256,93,1034,202,642,662,751,60.9%,1374,688,Competida (Swing)
641,Nogales,1722,581,772,643,115,720,51,232,177,220,53.0%,340,171,Competida (Swing)
642,Cajeme,1297,2858,3234,5392,79,564,210,1137,727,648,43.8%,2362,1182,Segura (Crecimiento Alto)
643,Nogales,1288,1839,2449,3379,80,691,326,612,722,800,64.1%,2164,1083,Competida (Swing)
644,Navojoa,2394,1391,3219,4659,128,1264,256,487,868,897,56.5%,2632,1317,Competida (Swing)
645,Navojoa,2419,2178,2372,2359,156,879,421,887,574,807,60.0%,1415,708,Competida (Swing)
646,Navojoa,1176,942,1588,1974,65,657,102,352,366,385,48.7%,962,482,Competida (Swing)
647,Hermosillo,599,1522,1842,3454,30,212,163,602,531,623,64.5%,2229,1115,Competida (Swing)
648,Guaymas,1877,3014,3231,4325,138,775,494,1164,734,622,43.2%,1870,936,Segura (Crecimiento Alto)
649,Guaymas,2135,2432,3109,3757,139,910,281,774,867,624,49.4%,1857,929,Segura (Crecimiento Alto)
650,Cajeme,507,758,2611,6448,27,197,80,370,641,619,49.7%,3205,1603,Segura (Crecimiento Alto)
651,Hermosillo,2376,1624,1300,964,102,1072,149,711,336,282,49.0%,472,237,Segura (Crecimiento Alto)
652,Guaymas,2431,2684,1394,1131,166,1118,560,1033,369,260,46.5%,525,263,Favorable (Estable)
653,San Luis Rio Colorado,1211,2376,856,993,66,450,329,993,227,146,44.9%,445,223,Favorable (Estable)
654,San Luis Rio Colorado,2205,1311,2358,2821,173,1142,145,433,778,663,63.0%,1776,889,Segura (Crecimiento Alto)
655,Hermosillo,2363,2965,2963,3339,97,1332,241,1159,619,664,44.6%,1489,745,Competida (Swing)
656,Hermosillo,549,1058,1107,1645,29,279,95,400,259,238,46.3%,760,381,Segura (Crecimiento Alto)
657,Nogales,2097,2900,919,781,157,967,438,853,191,179,41.5%,323,162,Favorable (Estable)
658,Navojoa,1212,2006,2965,4644,37,621,267,514,633,881,52.6%,2443,1222,Competida (Swing)
659,Navojoa,561,1927,3417,8898,36,275,286,529,676,863,46.4%,4130,2066,Competida (Swing)
660,Nogales,2893,3222,2605,2503,213,1357,428,1152,626,493,44.3%,1107,554,Segura (Crecimiento Alto)
661,Cajeme,2649,2670,2829,2924,86,1083,527,1006,699,543,45.2%,1322,662,Segura (Crecimiento Alto)
662,Nogales,1366,2135,879,867,126,718,249,584,241,194,51.0%,441,221,Favorable (Estable)
663,San Luis Rio Colorado,1431,2420,719,714,103,591,454,821,186,204,55.9%,399,200,Competida (Swing)
664,Hermosillo,1510,2488,2864,4007,78,811,236,890,651,585,44.5%,1782,892,Segura (Crecimiento Alto)
665,San Luis Rio Colorado,2555,1623,639,328,151,960,217,487,216,173,62.8%,205,103,Favorable (Estable)
666,Navojoa,1307,2017,2912,4349,51,541,361,773,534,683,43.1%,1872,937,Competida (Swing)
667,Hermosillo,2327,888,2755,4799,55,986,99,458,564,787,50.5%,2424,1213,Competida (Swing)
668,Guaymas,822,2324,694,1084,29,393,312,592,176,248,63.0%,682,342,Competida (Swing)
669,San Luis Rio Colorado,786,3012,1469,3172,46,342,340,1166,350,314,46.6%,1476,739,Favorable (Estable)
670,Nogales,2509,1719,2508,2688,136,896,170,506,737,658,57.3%,1541,771,Segura (Crecimiento Alto)
671,San Luis Rio Colorado,1948,2046,1611,1480,115,1078,276,523,305,346,41.7%,616,309,Competida (Swing)
672,San Luis Rio Colorado,1350,2904,3165,5128,69,711,275,965,654,874,49.8%,2551,1276,Competida (Swing)
673,Cajeme,2453,1486,3432,5002,121,1128,316,603,895,753,49.5%,2474,1238,Segura (Crecimiento Alto)
674,Navojoa,2840,1995,2956,3228,122,1185,302,895,641,520,40.5%,1306,654,Segura (Crecimiento Alto)
675,San Luis Rio Colorado,2654,2049,2167,1982,163,1316,185,743,587,701,61.2%,1213,607,Competida (Swing)
676,Hermosillo,738,1893,906,1378,23,439,311,714,281,189,53.4%,736,369,Favorable (Estable)
677,Cajeme,966,1068,1927,2803,26,436,135,479,570,508,57.7%,1616,809,Segura (Crecimiento Alto)
678,Cajeme,623,2090,2672,6189,33,248,350,757,736,622,52.4%,3240,1621,Segura (Crecimiento Alto)
679,San Luis Rio Colorado,2931,1427,1431,1065,138,1199,171,434,372,277,46.8%,497,249,Segura (Crecimiento Alto)
680,Hermosillo,572,2710,1677,4491,34,296,178,894,318,406,44.5%,1997,999,Competida (Swing)
681,Navojoa,2862,1541,2078,1960,122,1163,255,467,592,624,60.3%,1181,591,Competida (Swing)
682,Hermosillo,1954,543,1807,3257,52,854,57,266,413,366,44.4%,1447,724,Segura (Crecimiento Alto)
683,Nogales,1321,1165,2939,5003,41,539,224,427,670,925,55.9%,2798,1400,Competida (Swing)
684,Navojoa,2810,2751,2758,2732,176,1106,259,1288,758,780,57.5%,1570,786,Competida (Swing)
685,Navojoa,1273,2631,2128,3059,86,665,284,789,657,614,61.6%,1883,942,Segura (Crecimiento Alto)
686,Hermosillo,1250,2344,1284,1555,33,532,375,944,265,290,44.5%,692,347,Competida (Swing)
687,Navojoa,2833,1809,1289,870,72,1041,175,740,323,343,53.2%,463,232,Competida (Swing)
688,Guaymas,1483,1289,2673,3933,55,617,152,500,705,629,51.4%,2023,1012,Segura (Crecimiento Alto)
689,Nogales,1458,583,1739,2941,85,549,80,286,477,394,51.6%,1517,759,Segura (Crecimiento Alto)
690,Guaymas,506,1845,1475,3278,18,179,244,555,385,397,54.6%,1791,896,Competida (Swing)
691,San Luis Rio Colorado,2337,1505,1116,773,65,854,197,485,289,236,48.5%,374,188,Segura (Crecimiento Alto)
692,Guaymas,2845,2377,1238,839,167,1621,241,802,422,321,61.8%,518,260,Segura (Crecimiento Alto)
693,Hermosillo,1939,1884,1127,884,58,835,264,495,274,212,44.5%,392,197,Favorable (Estable)
694,San Luis Rio Colorado,1075,923,1641,2163,56,593,130,401,524,469,62.3%,1348,675,Segura (Crecimiento Alto)
695,Navojoa,959,758,823,772,54,528,90,317,243,195,54.8%,423,212,Segura (Crecimiento Alto)
696,San Luis Rio Colorado,1900,3202,980,975,86,944,242,1251,253,218,49.5%,482,242,Favorable (Estable)
697,San Luis Rio Colorado,972,2224,3080,5656,36,375,250,617,689,700,46.5%,2627,1314,Competida (Swing)
698,Nogales,1126,763,1339,1628,82,603,101,226,311,240,42.4%,690,346,Segura (Crecimiento Alto)
699,Hermosillo,1084,3085,2046,3589,94,530,538,1161,532,436,48.7%,1748,875,Favorable (Estable)
700,Nogales,878,1192,3176,6387,21,398,174,376,883,758,53.2%,3400,1701,Segura (Crecimiento Alto)
701,San Luis Rio Colorado,1683,3026,707,718,56,985,363,1130,160,228,56.6%,406,204,Competida (Swing)
702,Nogales,1661,1481,3150,4754,151,873,103,545,908,822,56.6%,2690,1346,Segura (Crecimiento Alto)
703,Nogales,2785,2355,1473,1083,119,1313,166,911,508,335,59.0%,638,320,Segura (Crecimiento Alto)
704,Hermosillo,2582,1236,2922,4153,102,1097,166,401,773,660,50.5%,2099,1050,Segura (Crecimiento Alto)
705,Navojoa,1547,2410,1008,995,81,550,337,1063,375,256,64.5%,641,321,Segura (Crecimiento Alto)
706,Cajeme,678,2339,1626,3369,54,372,215,917,372,305,42.9%,1444,723,Segura (Crecimiento Alto)
707,San Luis Rio Colorado,1138,732,1460,1925,44,449,125,311,320,393,50.3%,969,485,Competida (Swing)
708,San Luis Rio Colorado,2313,1657,762,448,134,1050,146,694,171,213,51.8%,232,117,Competida (Swing)
709,Cajeme,1376,1281,1248,1188,46,541,137,583,283,213,40.9%,486,244,Segura (Crecimiento Alto)
710,Navojoa,2154,1135,2658,3812,118,899,173,502,504,657,45.0%,1715,858,Competida (Swing)
711,Nogales,1823,3215,3234,4478,47,810,656,1301,668,822,47.5%,2126,1064,Competida (Swing)
712,Cajeme,2512,1477,2071,2060,93,1295,121,571,385,484,43.2%,890,446,Competida (Swing)
713,San Luis Rio Colorado,2338,2424,3016,3439,193,1262,389,878,856,570,48.7%,1676,839,Segura (Crecimiento Alto)
714,Nogales,1248,1755,2053,2644,47,625,219,805,583,449,51.8%,1369,685,Segura (Crecimiento Alto)
715,Nogales,2873,835,1727,2036,84,1460,81,380,450,284,43.8%,891,446,Segura (Crecimiento Alto)
716,Guaymas,681,1084,1664,2601,50,315,83,355,576,449,63.5%,1650,826,Segura (Crecimiento Alto)
717,San Luis Rio Colorado,2853,2873,2856,2857,151,1331,270,1182,645,796,52.0%,1485,743,Competida (Swing)
718,Nogales,2523,1718,3214,4100,84,1323,225,776,749,780,49.0%,2010,1006,Competida (Swing)
719,Guaymas,1575,1043,1624,1802,113,842,154,425,311,363,42.7%,770,386,Competida (Swing)
720,Navojoa,507,3183,2127,7387,15,184,455,1550,647,529,57.0%,4209,2105,Segura (Crecimiento Alto)
721,Hermosillo,2679,2226,2670,2710,97,1032,316,879,618,740,52.4%,1420,711,Competida (Swing)
722,Guaymas,1347,683,1062,1094,64,657,86,284,396,248,62.4%,682,342,Segura (Crecimiento Alto)
723,Guaymas,2404,1301,1247,935,86,1337,124,541,379,236,50.8%,474,238,Segura (Crecimiento Alto)
724,Nogales,1890,3016,757,698,122,763,587,1254,148,153,41.0%,285,143,Competida (Swing)
725,Navojoa,1319,2224,2156,2862,70,515,299,952,434,452,42.3%,1211,606,Competida (Swing)
726,Navojoa,2523,2757,1609,1348,86,1393,412,1105,419,294,45.7%,615,308,Favorable (Estable)
727,Cajeme,2235,988,1331,1190,129,1104,115,320,318,393,55.0%,654,328,Competida (Swing)
728,Cajeme,1915,552,2259,4947,81,1005,105,243,401,530,42.5%,2100,1051,Competida (Swing)
729,Cajeme,563,3073,1806,5459,14,221,397,1494,484,353,47.7%,2605,1303,Segura (Crecimiento Alto)
730,Guaymas,2148,2250,702,477,182,1105,165,746,127,173,44.0%,209,105,Competida (Swing)
731,Nogales,1956,1155,2343,3068,129,1086,146,498,542,686,54.0%,1656,829,Competida (Swing)
732,Guaymas,2831,2559,813,496,127,1248,246,1257,213,222,55.1%,273,137,Competida (Swing)
733,Nogales,815,1753,1672,2595,60,391,192,830,567,457,63.1%,1637,819,Segura (Crecimiento Alto)
734,Navojoa,1822,2574,3423,4693,76,705,259,1230,1243,788,61.1%,2869,1435,Segura (Crecimiento Alto)
735,Nogales,1788,1982,793,598,85,662,147,662,241,207,58.1%,347,174,Segura (Crecimiento Alto)
736,Hermosillo,1742,1674,1874,1949,149,821,125,540,532,438,53.3%,1038,520,Segura (Crecimiento Alto)
737,Nogales,1075,1543,2098,2931,23,405,193,731,540,589,55.4%,1624,813,Competida (Swing)
738,Navojoa,808,1965,1555,2506,63,441,360,825,287,409,46.1%,1155,578,Competida (Swing)
739,Navojoa,1226,2634,3383,5806,87,565,513,1136,846,602,44.1%,2560,1281,Segura (Crecimiento Alto)
740,San Luis Rio Colorado,2640,1830,2056,1867,97,1231,255,877,507,689,59.9%,1118,560,Competida (Swing)
741,Nogales,2760,1499,3369,4700,83,1242,167,474,950,762,52.4%,2460,1231,Segura (Crecimiento Alto)
742,Hermosillo,2694,720,1930,2844,127,940,69,221,408,568,52.1%,1482,742,Competida (Swing)
743,Navojoa,1737,1053,2979,5116,86,793,98,433,739,970,59.1%,3024,1513,Competida (Swing)
744,San Luis Rio Colorado,1418,3038,1697,2291,38,704,331,1248,437,301,44.8%,1026,514,Segura (Crecimiento Alto)
745,Cajeme,1003,2006,2176,3356,47,575,265,682,529,432,45.5%,1526,764,Segura (Crecimiento Alto)
746,Cajeme,1047,1234,2647,4398,81,485,145,480,854,561,55.1%,2422,1212,Segura (Crecimiento Alto)
747,Navojoa,2279,1752,911,587,161,1194,264,637,250,216,52.7%,309,155,Favorable (Estable)
748,Nogales,1082,2814,2876,5209,37,519,498,1079,853,911,63.2%,3292,1647,Competida (Swing)
749,Guaymas,2053,2406,2033,2050,90,953,326,748,348,489,42.4%,869,435,Competida (Swing)
750,Guaymas,642,1951,3391,8099,20,288,364,796,942,973,58.2%,4714,2358,Competida (Swing)
751,Navojoa,1291,2228,1325,1537,44,512,197,688,344,437,60.8%,933,467,Competida (Swing)
752,Navojoa,1724,1368,1500,1417,62,704,222,586,538,390,63.7%,903,452,Segura (Crecimiento Alto)
753,Cajeme,1381,1611,677,537,44,657,267,587,204,171,57.0%,306,154,Favorable (Estable)
754,Hermosillo,2619,1625,2984,3665,95,1226,249,721,821,570,48.0%,1760,881,Segura (Crecimiento Alto)
755,Guaymas,2077,1792,1833,1728,117,725,225,582,419,553,54.7%,944,473,Competida (Swing)
756,Guaymas,1602,1584,2081,2395,88,611,281,688,442,413,42.3%,1013,507,Segura (Crecimiento Alto)
757,Guaymas,2015,2275,2595,2944,149,935,287,1039,848,784,64.8%,1908,955,Segura (Crecimiento Alto)
